"<a href=""https://en.wikipedia.org/wiki/Abacus_(architecture)"" title=""Abacus (architecture)"">Abacus</a>"|"
A flat slab forming the uppermost member or division of the capital of a column.
"
"<a href=""https://en.wikipedia.org/wiki/Diaulos_(architecture)"" title=""Diaulos (architecture)"">Diaulos</a>"|"
<a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#Peristyle"">Peristyle</a> round the great court of the <a href=""https://en.wikipedia.org/wiki/Palaestra"" title=""Palaestra"">palaestra</a>, described by <a href=""https://en.wikipedia.org/wiki/Vitruvius"" title=""Vitruvius"">Vitruvius</a>, which measured two stadia (1,200&#160;ft.) in length, on the south side this peristyle had two rows of columns, so that in stormy weather the rain might not be driven into the inner part. The word was also used in ancient Greece for a foot race of twice the usual length.<sup id=""cite_ref-20"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-20"">&#91;20&#93;</a></sup>
"
"Diazoma"|"
A horizontal aisle in an ancient <a href=""https://en.wikipedia.org/wiki/Greek_theater"" class=""mw-redirect"" title=""Greek theater"">Greek theater</a> that separates the lower and upper tiers of  semi-circular seating and intersects with the vertical aisles.<sup id=""cite_ref-21"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-21"">&#91;21&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Dikka"" title=""Dikka"">Dikka</a>"|"
Islamic architectural term for the tribune raised upon columns, from which the Koran is recited and the prayers intoned by the Imam of the mosque.<sup id=""cite_ref-22"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-22"">&#91;22&#93;</a></sup>
Temples which have a double range of columns in the <a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#Peristyle"">peristyle</a>, as in the temple of <a href=""https://en.wikipedia.org/wiki/Diana_(mythology)"" title=""Diana (mythology)"">Diana</a> at <a href=""https://en.wikipedia.org/wiki/Ephesus"" title=""Ephesus"">Ephesus</a>.<sup id=""cite_ref-23"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-23"">&#91;23&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Distyle_in_antis"" title=""Distyle in antis"">Distyle in antis</a>"|"
Having two columns
An architectural term for a portico having two columns between two <a href=""https://en.wikipedia.org/wiki/Anta_(architecture)"" title=""Anta (architecture)"">anta</a><sup id=""cite_ref-24"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-24"">&#91;24&#93;</a></sup>
"
"Dodecastyle"|"
Temple where the <a href=""https://en.wikipedia.org/wiki/Portico"" title=""Portico"">portico</a> has twelve columns in front, as in the portico added to the <a href=""https://en.wikipedia.org/w/index.php?title=Temple_of_Demeter&amp;action=edit&amp;redlink=1"" class=""new"" title=""Temple of Demeter (page does not exist)"">Temple of Demeter</a> at <a href=""https://en.wikipedia.org/wiki/Eleusis"" title=""Eleusis"">Eleusis</a>, designed by <a href=""https://en.wikipedia.org/wiki/Philo"" title=""Philo"">Philo</a>, the architect of the arsenal at the <a href=""https://en.wikipedia.org/wiki/Peiraeus"" class=""mw-redirect"" title=""Peiraeus"">Peiraeus</a>.<sup id=""cite_ref-25"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-25"">&#91;25&#93;</a></sup>

<div class=""thumb tright""><div class=""thumbinner"" style=""width:222px;""><a href=""https://en.wikipedia.org/wiki/File:Classical_orders_from_the_Encyclopedie.png"" class=""image""><img alt=""Classical orders from the Encyclopedie.png"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Classical_orders_from_the_Encyclopedie.png/220px-Classical_orders_from_the_Encyclopedie.png"" decoding=""async"" width=""220"" height=""346"" class=""thumbimage"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Classical_orders_from_the_Encyclopedie.png/330px-Classical_orders_from_the_Encyclopedie.png 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Classical_orders_from_the_Encyclopedie.png/440px-Classical_orders_from_the_Encyclopedie.png 2x"" data-file-width=""853"" data-file-height=""1342"" /></a>  <div class=""thumbcaption""><div class=""magnify""><a href=""https://en.wikipedia.org/wiki/File:Classical_orders_from_the_Encyclopedie.png"" class=""internal"" title=""Enlarge""></a></div></div></div></div>"
"<a href=""https://en.wikipedia.org/wiki/Doric_order"" title=""Doric order"">Doric order</a>"|"
One of the three <a href=""https://en.wikipedia.org/wiki/Classical_order"" title=""Classical order"">orders</a> or organisational systems of Ancient Greek or classical architecture characterised by columns which stood on the flat pavement of a temple without a base, their vertical shafts fluted with parallel concave grooves topped by a smooth <a href=""https://en.wikipedia.org/wiki/Capital_(architecture)"" title=""Capital (architecture)"">capital</a> that flared from the column to meet a square <a href=""https://en.wikipedia.org/wiki/Abacus_(architecture)"" title=""Abacus (architecture)"">abacus</a> at the intersection with the horizontal beam that they carried.
"
"<a href=""https://en.wikipedia.org/wiki/Dormer"" title=""Dormer"">Dormer</a>"|"
A structural element of a building that protrudes from the plane of a sloping <a href=""https://en.wikipedia.org/wiki/Roof"" title=""Roof"">roof</a> surface. Dormers are used, either in original construction or as later additions, to create usable space in the roof of a building by adding headroom and usually also by enabling addition of windows.
"
"Dosseret, or <a href=""https://en.wikipedia.org/wiki/Impost_block"" class=""mw-redirect"" title=""Impost block"">impost block</a> <span id=""Dosseret""></span><span id=""impost_block""></span>"|"
Cubical block of stone above the capitals in a Byzantine church, used to carry the arches and vault, the springing of which had a superficial area greatly in excess of the column which carried them.<sup id=""cite_ref-26"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-26"">&#91;26&#93;</a></sup>
"
"Double-depth plan"|"
A plan for a structure that is two rooms deep but lacking a central corridor.<sup id=""cite_ref-27"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-27"">&#91;27&#93;</a></sup>
"
"Dromos"|"
Entrance passage or avenue leading to a building, tomb or passageway. Those leading to <a href=""https://en.wikipedia.org/wiki/Beehive_tomb"" title=""Beehive tomb"">beehive tombs</a> are enclosed between stone walls and sometimes in-filled between successive uses of the tomb.<sup id=""cite_ref-FOOTNOTEDeurer2011_28-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-FOOTNOTEDeurer2011-28"">&#91;28&#93;</a></sup><sup id=""cite_ref-29"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-29"">&#91;29&#93;</a></sup> In ancient Egypt the dromos was a straight, paved avenue flanked by sphinxes.<sup id=""cite_ref-FOOTNOTEDeurer2011_28-1"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-FOOTNOTEDeurer2011-28"">&#91;28&#93;</a></sup><sup id=""cite_ref-30"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-30"">&#91;30&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Eave_return"" title=""Eave return"">Eave return</a>"|"
An element of Classical Revival architecture in American domestic architecture.
"
"<a href=""https://en.wikipedia.org/wiki/Entablature"" title=""Entablature"">Entablature</a>"|"
A superstructure of moldings and bands which lie horizontally above columns, resting on their capitals.
"
"<a href=""https://en.wikipedia.org/wiki/Entasis"" title=""Entasis"">Entasis</a>"|"
The application of a convex curve to a surface for aesthetic purposes. Its best-known use is in certain orders of Classical columns that curve slightly as their diameter is decreased from the bottom upward. It also may serve an engineering function regarding strength.
"
"Ephebeum"|"
(<i><a href=""https://en.wikipedia.org/wiki/Ancient_Greek_language"" class=""mw-redirect"" title=""Ancient Greek language"">Ancient Greek</a>: <span lang=""grc"">ephebion</span></i>) Large hall in the ancient <a href=""https://en.wikipedia.org/wiki/Palaestra"" title=""Palaestra"">Palaestra</a> furnished with seats, the length of which should be a third larger than the width. It served for the exercises of youths of from sixteen to eighteen years of age.<sup id=""cite_ref-31"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-31"">&#91;31&#93;</a></sup>
"
"Epinaos"|"
Open <a href=""https://en.wikipedia.org/wiki/Vestibule_(architecture)"" title=""Vestibule (architecture)"">vestibule</a> behind the <a href=""https://en.wikipedia.org/wiki/Nave"" title=""Nave"">nave</a>. The term is not found in any classic author, but is a modern coinage, originating in Germany, to differentiate the feature from the <a href=""https://en.wikipedia.org/wiki/Opisthodomos"" title=""Opisthodomos"">opisthodomos</a>, which in the <a href=""https://en.wikipedia.org/wiki/Parthenon"" title=""Parthenon"">Parthenon</a> was an enclosed chamber.<sup id=""cite_ref-32"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-32"">&#91;32&#93;</a></sup>
"
"Estrade"|"
French term for a raised platform or <a href=""https://en.wikipedia.org/wiki/Dais"" title=""Dais"">dais</a>. In the <a href=""https://en.wikipedia.org/wiki/Levant"" title=""Levant"">Levant</a>, the estrade of a divan is called a Sopha, from which comes our word 'sofa'.<sup id=""cite_ref-33"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-33"">&#91;33&#93;</a></sup>
"
"Eustyle"|"
<a href=""https://en.wikipedia.org/wiki/Intercolumniation"" title=""Intercolumniation"">intercolumniation</a> defined by <a href=""https://en.wikipedia.org/wiki/Vitruvius"" title=""Vitruvius"">Vitruvius</a> as being of the best proportion, i.e. two and a quarter diameters.<sup id=""cite_ref-34"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-34"">&#91;34&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Facade"" title=""Facade"">Facade</a>"|"
An exterior side of a building, usually the front.
"
"<a href=""https://en.wikipedia.org/wiki/Fanlight"" title=""Fanlight"">Fanlight</a>"|"
Window, semicircular or semi-elliptical in shape, with glazing bars or tracery sets radiating out like an open fan."
"<a href=""https://en.wikipedia.org/wiki/Fascia_(architecture)"" title=""Fascia (architecture)"">Fascia</a>"|"
Horizontal board attached to the lower end of rafters at the eaves."
"Feretory"|"
Enclosure or chapel within which the ferreter shrine, or tomb (as in Henry VII.'s chapel), was placed.<sup id=""cite_ref-35"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-35"">&#91;35&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Flushwork"" title=""Flushwork"">Flushwork</a>"|"
The decorative combination on the same flat plane of <a href=""https://en.wikipedia.org/wiki/Flint"" title=""Flint"">flint</a> and <a href=""https://en.wikipedia.org/wiki/Ashlar"" title=""Ashlar"">ashlar</a> stone.  It is characteristic of medieval buildings, most of the survivors churches, in several areas of Southern England, but especially <a href=""https://en.wikipedia.org/wiki/East_Anglia"" title=""East Anglia"">East Anglia</a>. If the stone projects from a flat flint wall, the term is <b>proudwork</b> – as the stone stands ""proud"" rather than being ""flush"" with the wall.
"
"<a href=""https://en.wikipedia.org/wiki/Flying_buttress"" title=""Flying buttress"">Flying buttress</a>"|"
A specific type of <a href=""https://en.wikipedia.org/wiki/Buttress"" title=""Buttress"">buttress</a> usually found on a religious building such as a cathedral.
"
"Flying rib"|"
An exposed structural beam over the uppermost part of a building which is not otherwise connected to the building at its highest point. A feature of H frame constructed concrete buildings and some modern skyscrapers.
"
"Footprint"|"
The area on a plane directly beneath a structure, that has the same perimeter as the structure.<sup id=""cite_ref-36"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-36"">&#91;36&#93;</a></sup>
"
"Foot-stall"|"
The lower part of a pier in architecture. (A literal translation of ""pedestal."")<sup id=""cite_ref-37"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-37"">&#91;37&#93;</a></sup>
"
"Formeret"|"
French term for the wall-rib carrying the web or filling-in of a vault.<sup id=""cite_ref-38"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-38"">&#91;38&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Gable"" title=""Gable"">Gable</a>"|"
A triangular portion of an end wall between the edges of a sloping roof.
"
"Gablets"|"
Triangular terminations to <a href=""https://en.wikipedia.org/wiki/Buttress"" title=""Buttress"">buttresses</a>, much in use in the <a href=""https://en.wikipedia.org/wiki/Early_English_Period"" class=""mw-redirect"" title=""Early English Period"">Early English</a> and <a href=""https://en.wikipedia.org/wiki/Decorated_Gothic"" class=""mw-redirect"" title=""Decorated Gothic"">Decorated periods</a>, after which the buttresses generally terminated in <a href=""https://en.wikipedia.org/wiki/Pinnacle"" title=""Pinnacle"">pinnacles</a>. The Early English gablets are generally plain, and very sharp in pitch. In the Decorated period they are often enriched with paneling and <a href=""https://en.wikipedia.org/wiki/Crocket"" title=""Crocket"">crockets</a>. They are sometimes finished with small crosses, but more often with finials.<sup id=""cite_ref-39"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-39"">&#91;39&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Gadrooning"" title=""Gadrooning"">Gadrooning</a>"|"
Carved or curved molding used in architecture and interior design as decorative motif, often consisting of flutes which are inverted and curved.  Popular during the Italian Renaissance.<sup id=""cite_ref-40"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-40"">&#91;40&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Galletting"" class=""mw-redirect"" title=""Galletting"">Galletting</a> (also Garretting) <span id=""galletting""></span><span id=""garretting""></span>"|"
The process in which the gallets or small splinters of stone are inserted in the joints of coarse masonry to protect the mortar joints. They are stuck in while the mortar is wet.<sup id=""cite_ref-41"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-41"">&#91;41&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Gambrel"" title=""Gambrel"">Gambrel</a>"|"
A symmetrical two-sided roof with two slopes on each side.
"
"<a href=""https://en.wikipedia.org/wiki/Gargoyle"" title=""Gargoyle"">Gargoyle</a>"|"
A carved stone grotesque with a spout designed to convey water from a roof.
"
"<a href=""https://en.wikipedia.org/wiki/Garret"" title=""Garret"">Garret</a>"|"
A habitable attic at the top of a larger building, generally with sloping walls, and with skylights or dormer windows.
"
"Gauged brickwork (also rubbed brickwork) <span id=""gauged_brickwork""></span><span id=""rubbed_brickwork""></span>"|"
<a href=""https://en.wikipedia.org/wiki/Brickwork"" title=""Brickwork"">Brickwork</a> constructed of soft bricks rubbed to achieve a fine smooth finish with narrow joints between courses.
"
"<a href=""https://en.wikipedia.org/wiki/Gazebo"" title=""Gazebo"">Gazebo</a>"|"
A freestanding <a href=""https://en.wikipedia.org/wiki/Pavilion"" title=""Pavilion"">pavilion</a>  structure often found in parks, gardens and public areas.
"
"<a href=""https://en.wikipedia.org/wiki/Geison"" title=""Geison"">Geison</a>"|"
(Greek: γεῖσον – often interchangeable with <a href=""https://en.wikipedia.org/wiki/Cornice"" title=""Cornice"">cornice</a>) the part of the <a href=""https://en.wikipedia.org/wiki/Entablature"" title=""Entablature"">entablature</a> that projects outward from the top of the frieze in the <a href=""https://en.wikipedia.org/wiki/Doric_order"" title=""Doric order"">Doric order</a> and from the top of the frieze course of the <a href=""https://en.wikipedia.org/wiki/Ionic_order"" title=""Ionic order"">Ionic</a> and <a href=""https://en.wikipedia.org/wiki/Corinthian_order"" title=""Corinthian order"">Corinthian</a> orders; it forms the outer edge of the roof on the sides of a structure with a sloped roof.
"
"<a href=""https://en.wikipedia.org/wiki/Geodesic_dome"" title=""Geodesic dome"">Geodesic dome</a>"|"
A structure formed of straight wood or metal members between points (or nodes) on a circular sphere (or part thereof) that are ""pinned"" at each connection point to two or more other members that transfer loads imposed on the structure to the base of the structure. The geometric areas between individual members may support a ""skin"" if the structure is to be enclosed.  A ""regular"" geodesic structure have members of equal length but strengths of members may vary depending on location in the geodesic ""grid"".
"
"<a href=""https://en.wikipedia.org/wiki/Grotto"" title=""Grotto"">Grotto</a>"|"
An exterior submerged room that is decorated with landscaping or art in which has no exterior exit or entrance. One enters and exits only through the building.
"
"<a href=""https://en.wikipedia.org/wiki/Hip_roof"" title=""Hip roof"">Hip roof</a>"|"
A type of roof where all sides slope downwards from the ridge to the eaves.
"
"Hyphen"|"
Possibly from an older term ""heifunon""<sup id=""cite_ref-name_42-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-name-42"">&#91;42&#93;</a></sup> – a structural section connecting the main portion of a building with its projecting ""dependencies"" or wings.
"
"<a href=""https://en.wikipedia.org/wiki/Imperial_roof_decoration"" title=""Imperial roof decoration"">Imperial roof decoration</a>"|"
A row of small figures along the unions of the roofs of Chinese official buildings.
"
"Interlaced arches"|"
A scheme of decoration employed in <a href=""https://en.wikipedia.org/wiki/Romanesque_architecture"" title=""Romanesque architecture"">Romanesque</a> and <a href=""https://en.wikipedia.org/wiki/Gothic_architecture"" title=""Gothic architecture"">Gothic</a> architecture, where <a href=""https://en.wikipedia.org/wiki/Arch"" title=""Arch"">arches</a> are thrown from alternate <a href=""https://en.wikipedia.org/wiki/Pier_(architecture)"" title=""Pier (architecture)"">piers</a>, interlacing or intersecting one another. In the former case, the first arch <a href=""https://en.wikipedia.org/wiki/Molding_(decorative)"" title=""Molding (decorative)"">mould</a> is carried alternately over and under the second, in the latter the mouldings actually intersect and stop one another.<sup id=""cite_ref-43"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-43"">&#91;43&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Ionic_order"" title=""Ionic order"">Ionic order</a>"|"
One of the three <a href=""https://en.wikipedia.org/wiki/Classical_order"" title=""Classical order"">orders</a> or organisational systems of Ancient Greek or classical architecture characterised by columns which stood on the flat pavement of a temple with a base, their vertical shafts fluted with parallel concave grooves topped by a <a href=""https://en.wikipedia.org/wiki/Capital_(architecture)"" title=""Capital (architecture)"">capital</a> with <a href=""https://en.wikipedia.org/wiki/Volute"" title=""Volute"">volutes</a>, that flared from the column to meet a rectangular <a href=""https://en.wikipedia.org/wiki/Abacus_(architecture)"" title=""Abacus (architecture)"">abacus</a> with carved <a href=""https://en.wikipedia.org/wiki/Ovolo"" title=""Ovolo"">ovolo</a> moulding, at the intersection with the horizontal beam that they carried.
"
"<a href=""https://en.wikipedia.org/wiki/Jagati_(temple)"" title=""Jagati (temple)"">Jagati</a>"|"
A raised surface, platform or terrace upon which an <a href=""https://en.wikipedia.org/wiki/India"" title=""India"">Indian</a> temple is placed.
"
"<a href=""https://en.wikipedia.org/wiki/Jettying"" title=""Jettying"">Jettying</a>"|"
A building technique used in medieval timber frame buildings in which an upper floor projects beyond the dimensions of the floor below.
"
"<a href=""https://en.wikipedia.org/wiki/Keystone_(architecture)"" title=""Keystone (architecture)"">Keystone</a>"|"
The architectural piece at the crown of a vault or arch and marks its apex, locking the other pieces into position.
"
"Lacunar"|"
Latin name in architecture for paneled or <a href=""https://en.wikipedia.org/wiki/Coffered_ceiling"" class=""mw-redirect"" title=""Coffered ceiling"">coffered ceiling</a>, <a href=""https://en.wikipedia.org/wiki/Soffit"" title=""Soffit"">soffit</a>, or <a href=""https://en.wikipedia.org/wiki/Vault_(architecture)"" title=""Vault (architecture)"">vault</a> adorned with a pattern of recessed <a href=""https://en.wikipedia.org/wiki/Panel_painting"" title=""Panel painting"">panels</a>.<sup id=""cite_ref-44"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-44"">&#91;44&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Latticework"" title=""Latticework"">Latticework</a>"|"
An ornamental, lattice framework consisting of small strips in a criss-crossed pattern.
"
"<a href=""https://en.wikipedia.org/wiki/Light_(window)"" class=""mw-redirect"" title=""Light (window)"">Light</a>"|"
The opening(s) in a window between mullions and muntins through which light enters an interior space.   A 6:6 window is a window that has six lights in the upper sash and six in the lower sash.
"
"<a href=""https://en.wikipedia.org/wiki/Lightning_rod"" title=""Lightning rod"">Lightning rod</a>"|"
A conductive bar(s) of copper or zinc coated steel mounted on the ridge or a roof or on the parapet of a building connected to a large capacity conductor, usually copper, routed to a ground rod(s) driven into the earth for the purpose of safely directing electrical charges caused by a lightning strike to the ground to avoid damage or fire to the structure.
"
"<a href=""https://en.wikipedia.org/wiki/Lintel_(architecture)"" class=""mw-redirect"" title=""Lintel (architecture)"">Lintel</a>"|"
A horizontal block that spans the space between two supports usually over an opening such as a window or door.
"
"<a href=""https://en.wikipedia.org/wiki/Loculus_(architecture)"" title=""Loculus (architecture)"">Loculus</a>"|"
An architectural niche that houses a body, as in a catacomb, hypogeum, mausoleum or other place of entombment.
"
"<a href=""https://en.wikipedia.org/wiki/Loggia"" title=""Loggia"">Loggia</a>"|"
A gallery formed by a colonnade open on one or more sides. The space is often located on an upper floor of a building overlooking an open court or garden.
"
"<a href=""https://en.wikipedia.org/wiki/Lunette"" title=""Lunette"">Lunette</a>"|"
A half-moon shaped space, either masonry or void.
"
"<a href=""https://en.wikipedia.org/wiki/Mandapa"" title=""Mandapa"">Mandapa</a>"|"
In <a href=""https://en.wikipedia.org/wiki/Indian_architecture"" class=""mw-redirect"" title=""Indian architecture"">Indian architecture</a>, a pillared outdoor hall or <a href=""https://en.wikipedia.org/wiki/Pavilion"" title=""Pavilion"">pavilion</a> for public rituals.
"
"<a href=""https://en.wikipedia.org/wiki/Maqsurah"" title=""Maqsurah"">Maqsurah</a> (maqsura) <span id=""maqsurah""></span><span id=""maqsura""></span>"|"
In <a href=""https://en.wikipedia.org/wiki/Islamic_architecture"" title=""Islamic architecture"">Islamic architecture</a>, the sanctuary or praying-chamber in a mosque, sometimes enclosed with a screen of <a href=""https://en.wikipedia.org/wiki/Lattice-work"" class=""mw-redirect"" title=""Lattice-work"">lattice-work</a>; occasionally, a similar enclosure round a tomb.
"
"<a href=""https://en.wikipedia.org/wiki/Mansard_roof"" title=""Mansard roof"">Mansard roof</a>"|"
(French roof) A <a href=""https://en.wikipedia.org/wiki/Hip_roof"" title=""Hip roof"">curb hip roof</a> in which each face has two slopes, the lower one steeper than the upper; from the French <i>mansarde</i> after the accomplished 17th-century French architect noted for using (not inventing) this style, <a href=""https://en.wikipedia.org/wiki/Fran%C3%A7ois_Mansart"" title=""François Mansart"">François Mansart</a>, died 1666.
"
"<a href=""https://en.wikipedia.org/wiki/Marriage_stone"" title=""Marriage stone"">Marriage stone</a>"|"
A stone lintel, usually carved, with a marriage date.
"
"<a href=""https://en.wikipedia.org/wiki/Mascaron_(architecture)"" title=""Mascaron (architecture)"">Mascaron</a>"|"
A mascaron ornament is a face, usually human, sometimes frightening or chimeric, used as a decorative element.
"
"<a href=""https://en.wikipedia.org/wiki/Meander_(art)"" title=""Meander (art)"">Meander</a>"|"
Decorative border made by a repeated linear motif.
"
"<a href=""https://en.wikipedia.org/wiki/Mihrab"" title=""Mihrab"">Mihrab</a>"|"
In <a href=""https://en.wikipedia.org/wiki/Islamic_architecture"" title=""Islamic architecture"">Islamic architecture</a>, a semicircular <a href=""https://en.wikipedia.org/wiki/Niche_(architecture)"" title=""Niche (architecture)"">niche</a> in the wall of a mosque that indicates the direction of prayer.
"
"<a href=""https://en.wikipedia.org/wiki/Minaret"" title=""Minaret"">Minaret</a>"|"
In <a href=""https://en.wikipedia.org/wiki/Islamic_architecture"" title=""Islamic architecture"">Islamic architecture</a>, a tall <a href=""https://en.wikipedia.org/wiki/Spire"" title=""Spire"">spire</a> with a conical or onion-shaped crown, on or near a mosque, that is used by the imam to give the prayer call.
"
"<a href=""https://en.wikipedia.org/wiki/Modillion"" title=""Modillion"">Modillion</a>"|"
Enriched block or horizontal bracket generally found under the cornice and above the bedmold of the Corinthian entablature. It is probably so called because of its arrangement in regulated distances.<sup id=""cite_ref-45"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-45"">&#91;45&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Molding_(decorative)"" title=""Molding (decorative)"">Molding</a>"|"
Decorative finishing strip.
"
"Monotriglyph"|"
Interval of the <a href=""https://en.wikipedia.org/wiki/Intercolumniation"" title=""Intercolumniation"">intercolumniation</a> of the <a href=""https://en.wikipedia.org/wiki/Doric_order"" title=""Doric order"">Doric</a> column, which is observed by the intervention of one <a href=""https://en.wikipedia.org/wiki/Triglyph"" title=""Triglyph"">triglyph</a> only between the triglyphs which come over the axes of the columns. This is the usual arrangement, but in the <a href=""https://en.wikipedia.org/wiki/Propylaea"" title=""Propylaea"">Propylaea</a> at Athens there are two triglyphs over the central intercolumniation, in order to give increased width to the roadway, up which chariots and beasts of sacrifice ascended.<sup id=""cite_ref-46"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-46"">&#91;46&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Mullion"" title=""Mullion"">Mullion</a>"|"
Vertical bar of wood, metal or stone which separates two or more windows in a series.
"
"<a href=""https://en.wikipedia.org/wiki/Muqarnas"" title=""Muqarnas"">Muqarnas</a>"|"
Type of decorative corbel used in <a href=""https://en.wikipedia.org/wiki/Islamic_architecture"" title=""Islamic architecture"">Islamic architecture</a> that in some circumstances, resembles stalactites.
"
"Mutule <span id=""Mutule""></span>"|"
Rectangular block under the <a href=""https://en.wikipedia.org/wiki/Soffit"" title=""Soffit"">soffit</a> of the cornice of the Greek Doric temple, which is studded with <a href=""https://en.wikipedia.org/wiki/Guttae"" class=""mw-redirect"" title=""Guttae"">guttae</a>. It is supposed to represent the piece of timber through which the wooden pegs were driven in order to hold the rafter in position, and it follows the <a href=""https://en.wikipedia.org/wiki/Cornice"" title=""Cornice"">sloping rake</a> of the roof. In the Roman Doric order the mutule was horizontal, with sometimes a crowning fillet, so that it virtually fulfilled the purpose of the modillion in the Corinthian cornice.<sup id=""cite_ref-47"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-47"">&#91;47&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Narthex"" title=""Narthex"">Narthex</a>"|"
An enclosed passage between the main entrance and the <a href=""https://en.wikipedia.org/wiki/Nave"" title=""Nave"">nave</a> of a church.
"
"<a href=""https://en.wikipedia.org/wiki/Nave"" title=""Nave"">Nave</a>"|"
The main body of a church where the congregants are usually seated. It provides the central approach to the high <a href=""https://en.wikipedia.org/wiki/Altar"" title=""Altar"">altar</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Newel"" title=""Newel"">Newel</a>"|"
The central supporting pillar of a spiral staircase. It can also refer to an upright post that supports the handrail of a stair railing and forms the lower, upper or an intermediate terminus of a stair railing usually at a landing.
"
"<a href=""https://en.wikipedia.org/wiki/Niche_(architecture)"" title=""Niche (architecture)"">Niche</a>"|"
In classical architecture is an <a href=""https://en.wikipedia.org/wiki/Exedra"" title=""Exedra"">exedra</a> or an <a href=""https://en.wikipedia.org/wiki/Apse"" title=""Apse"">apse</a> that has been reduced in size, retaining the half-dome heading usual for an apse.
"
"<a href=""https://en.wikipedia.org/wiki/Oculus"" title=""Oculus"">Oculus</a>"|"
A circular opening in the center of a dome such as the one in the roof of the Pantheon in Rome or in a wall.
"
"Oillets"|"
Arrow slits in the walls of medieval fortifications, but more strictly applied to the round hole or circle with which the openings terminate. The same term is applied to the small circles inserted in the tracery-head of the windows of the Decorated and Perpendicular periods, sometimes varied with trefoils and quatrefoils.<sup id=""cite_ref-48"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-48"">&#91;48&#93;</a></sup>
"
